"Dépenses de santé liées à l&#39;obésité et à la surcharge pondérale"
"USD PPA"
"Category";"USD ppp per capita";"null"
"États-Unis";644,8;
"Allemagne";411,2;
"Pays-Bas";352,3;
"Norvège";333,7;
"Suède";305,5;
"Luxembourg";303,2;
"Canada";295;
"Belgique";293,2;
"Danemark";284,4;
"Autriche";268,7;
"Irlande";268;
"Finlande";254,2;
"Suisse";236,4;
"Italie";234;
"Portugal";227,8;
"Espagne";226,9;
"OCDE";209,5;
"Japon";207,9;
"Australie";207,3;
"Royaume-Uni";188,5;
"Islande";182,5;
"Grèce";181,6;
"Nouvelle-Zélande";161,2;
"France";148,2;
"Tchéquie";142,7;
"Corée";141,6;
"Slovénie";127,8;
"République slovaque";116,5;
"Hongrie";106,8;
"Chili";102,8;
"Türkiye";99;2
"Israël";98,4;
"Pologne";96,1;
"Lituanie";94,7;
"Lettonie";94,6;
"Mexique";62,2;
"Costa Rica";52,5;
"Colombie";43,7;
"Estonie";41,4;